brand,name,old_prices_reais,old_prices_centavos,new_prices_reais,new_price_centavos,review_rating_number,review_amount
ASCENSION,Tenis Ortopedico Masculino Corrida Caminhada Academia Treino,119,67,110,76,4.4,(115)
OLYMPIKUS,Tênis Olympikus Casual Olimpicos Confortável Pra Corrida Nfe,229,99,193,19,4.8,(657)
,Tênis Academia Caminhada Corrida Confortável Leve Pra Malhar,99,90,69,93,4.6,(221)
OLYMPIKUS,Tênis Olympikus Challenger 5 Branco E Cinza - Masculino,299,99,33,33,5.0,(1)
OLYMPIKUS,Tênis Masculino Olympikus Original Academia Preto Adulto ,212,49,159,60,4.7,(795)
ADIDAS,Tênis De Corrida Masculino Duramo Esportivo Performance Leve,499,99,364,99,5.0,(3)
MIZUNO,Tênis Mizuno Frontier B Unissex Original ,799,99,77,56,,
DM DAMANDO,Tenis Masculino Esportivo Black Academia Corrida Caminhada,72,90,64,60,4.4,(33)
BLACK FREE,Kit 2 Pares Tênis Black Free Evolution Masculino Promoção,219,90,31,41,4.4,(613)
OUSY SHOES,Kit 3 Tênis Caminhada Training Leve Masculino ,229,90,167,82,4.5,(757)
,Tênis Cross Tryd 5400 Academia Caminhada Confortável Leve,99,99,69,99,4.5,(1518)
MIZUNO,Tênis Mizuno Wave Interceptor Rsp Masculino Corrida,444,33,44,43,,
NEW BALANCE,Tênis New Balance Hierro V7 Masculino Original ,1.259,90,793,73,,
UNDER ARMOUR,Tênis Under Armour Essential 2 Original Academia Masculino,262,49,206,90,4.8,(202)
OLYMPIKUS,Olympikus Poseidon Masculino Adultos,194,80,18,93,4.7,(590)
POLO JOY,Tênis Polo Joy Casual Masculino Academia Macio Leve Original,78,90,7,67,4.8,(99)
DM DAMANDO,Kit Tenis Confortavel Masculino P/academia Corrida + Relógio,78,90,26,30,4.6,(188)
LYND,Tênis Esportivo Masculino Corrida Caminhada- Vent 424,199,90,149,92,4.4,(83)
PUMA,Tênis Masculino Caminhada Puma Haste Sl Bdp Esportivo,589,90,430,62,,
